Name,State/Territory,Category,Type,Created,Updated
TVA - Commercial Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,2020-06-02,2023-10-16
Electric Vehicle Supply Equipment Tax Credit,GA,Financial Incentive,Personal Tax Credit,2021-05-27,2024-02-17
Georgia Power - Residential Electric Vehicle Charger Program,GA,Financial Incentive,Rebate Program,2021-07-17,2024-06-04
Georgia Power - Business EV Charger Plus Rebate Program,GA,Financial Incentive,Rebate Program,2021-07-17,2024-06-06
ACE Georgia - Business Loan Program,GA,Financial Incentive,Loan Program,2022-10-03,2022-10-03
Georgia Power - Energy Assistance for Savings & Efficiency (EASE),GA,Financial Incentive,Rebate Program,2023-04-12,2023-04-12
GaDER School Bus Retrofit Program,GA,Financial Incentive,Grant Program,2023-05-25,2024-06-06
Jackson EMC - Residential EV Charger Rebate,GA,Financial Incentive,Rebate Program,2024-06-04,2024-06-04
Georgia - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,GA,Financial Incentive,Grant Program,2024-06-12,2024-06-12
City of Atlanta - Incentivized Green Developments,GA,Financial Incentive,Green Building Incentive,2024-07-25,2024-07-25
Georgia - Home Electrification and Appliance Rebate (HEAR) Program,GA,Financial Incentive,Rebate Program,2024-11-15,2024-11-15
Georgia - Home Efficiency Rebate (HER) Program,GA,Financial Incentive,Rebate Program,2024-11-15,2024-11-15
Guam - Net Metering,GU,Regulatory Policy,Net Metering,2008-01-25,2024-05-28
Guam - Renewable Energy Portfolio Goal,GU,Regulatory Policy,Renewables Portfolio Standard,2008-03-31,2024-05-28
Guam - Building Energy Code,GU,Regulatory Policy,Building Energy Code,2008-06-17,2020-06-12
Guam - Photovoltaic Property Tax Exemption,GU,Financial Incentive,Property Tax Incentive,2024-01-04,2024-10-28
Solar and Wind Energy Credit (Corporate),HI,Financial Incentive,Corporate Tax Credit,2000-01-01,2024-08-15
Solar and Wind Energy Credit (Personal),HI,Financial Incentive,Personal Tax Credit,2000-01-01,2024-08-15
Hawaii Solar Installation Rights,HI,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-23
Solar Contractor Licensing,HI,Regulatory Policy,Solar/Wind Contractor Licensing,2000-01-01,2020-07-18
Solar Water Heater Rebate,HI,Financial Incentive,Rebate Program,2000-01-01,2023-05-17
Smart Renewable Energy Tariffs,HI,Regulatory Policy,Net Metering,2001-07-09,2024-06-11
KIUC - Solar Water Heating Loan Program,HI,Financial Incentive,Loan Program,2001-06-22,2024-05-10
KIUC - Solar Water Heating Rebate Program,HI,Financial Incentive,Rebate Program,2001-06-22,2024-05-10
Renewable Portfolio Standard,HI,Regulatory Policy,Renewables Portfolio Standard,2001-07-12,2023-12-05
City and County of Honolulu - Solar Loan Program,HI,Financial Incentive,Loan Program,2003-06-11,2024-05-24
Interconnection Standards,HI,Regulatory Policy,Interconnection,2003-08-21,2024-06-10
Residential Energy Efficiency Rebate Program,HI,Financial Incentive,Rebate Program,2006-04-18,2023-05-17
Renewables and Efficiency in State Facilities & Operations,HI,Regulatory Policy,Energy Standards for Public Buildings,2006-07-14,2024-07-01
Building Energy Code,HI,Regulatory Policy,Building Energy Code,2006-08-01,2023-06-18
KIUC - Energy Wise Commercial Energy Efficiency Program,HI,Financial Incentive,Rebate Program,2006-09-01,2024-05-10
Priority Permit Processing for Green Buildings,HI,Financial Incentive,Green Building Incentive,2006-09-25,2024-08-19
Public Benefits Fee for Energy Efficiency,HI,Regulatory Policy,Public Benefits Fund,2008-06-03,2021-07-26
Solar Water Heating Requirement for New Residential Construction,HI,Regulatory Policy,Building Energy Code,2008-06-27,2024-05-24
Farm and Aquaculture Alternative Energy Loan,HI,Financial Incentive,Loan Program,2008-07-08,2023-08-25
City and County of Honolulu - Real Property Tax Exemption for Renewable Energy Property,HI,Financial Incentive,Property Tax Incentive,2009-09-23,2024-10-25
Hawaii Energy,HI,Regulatory Policy,Public Benefits Fund,2009-01-01,2021-07-30
Hawaii PACE program,HI,Financial Incentive,PACE Financing,2010-01-04,2024-01-15
Energy Efficiency Portfolio Standard,HI,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-20,2024-10-25
Fuel Mix Disclosure,HI,Regulatory Policy,Generation Disclosure,2011-03-04,2023-08-10
Residential Energy Disclosure,HI,Regulatory Policy,Other Policy,2012-10-15,2020-07-30
Commercial Energy Efficiency Rebate Program,HI,Financial Incentive,Rebate Program,2012-12-14,2023-05-17
Green Infrastructure Bonds,HI,Financial Incentive,Bond Program,2013-08-01,2024-08-19
Hawaii Appliance and Equipment Energy Efficiency Standards,HI,Regulatory Policy,Appliance/Equipment Efficiency Standards,2021-07-08,2024-10-25
Electric Vehicle Charging Station Rebate Program,HI,Financial Incentive,Rebate Program,2021-08-20,2023-05-17
Community Renewable Energy Program,HI,Regulatory Policy,Community Solar Rules,2022-06-21,2024-06-21
Hawaii - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,HI,Financial Incentive,Grant Program,2024-06-11,2024-06-11
Iowa Solar Easement and Access Laws,IA,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-05-26
Renewable Energy Equipment Exemption,IA,Financial Incentive,Sales Tax Incentive,2000-01-01,2024-08-15
Local Option - Special Assessment of Wind Energy Devices,IA,Financial Incentive,Property Tax Incentive,2000-01-01,2024-10-09
Property Tax Exemption for Renewable Energy Systems,IA,Financial Incentive,Property Tax Incentive,2000-01-01,2024-08-15
Methane Gas Conversion Property Tax Exemption,IA,Financial Incentive,Property Tax Incentive,2000-01-01,2024-10-09
Mandatory Utility Green Power Option,IA,Regulatory Policy,Mandatory Utility Green Power Option,2001-09-24,2021-08-27
Alternative Energy Law (AEL),IA,Regulatory Policy,Renewables Portfolio Standard,2000-01-01,2024-11-18
Fuel Mix and Emissions Disclosure,IA,Regulatory Policy,Generation Disclosure,2005-02-14,2023-08-09
Net Metering,IA,Regulatory Policy,Net Metering,2000-01-01,2024-03-07
Interconnection Standards,IA,Regulatory Policy,Interconnection,2003-06-18,2024-06-07
Energy Replacement Generation Tax Exemption,IA,Financial Incentive,Corporate Tax Exemption,2003-07-10,2024-03-06
Alliant Energy Interstate Power and Light - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2006-06-05,2024-05-30
Alliant Energy Interstate Power and Light - Farm Equipment Energy Efficiency Incentives,IA,Financial Incentive,Rebate Program,2006-06-05,2024-09-24
Cedar Falls Utilities - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2006-07-14,2024-01-22
Energy Efficiency in State Facilities,IA,Regulatory Policy,Energy Standards for Public Buildings,2006-07-14,2024-06-10
Building Energy Code,IA,Regulatory Policy,Building Energy Code,2006-07-28,2023-06-18
Linn County Rural Electric Cooperative - Residential and Small Commercial (<75kw) rebates,IA,Financial Incentive,Rebate Program,2007-03-19,2024-09-20
Muscatine Power and Water - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,2008-02-05,2024-01-22
Muscatine Power and Water - Commercial and Industrial Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,2008-02-05,2024-09-18
Ames Electric Department - Commercial Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2008-03-18,2024-08-15
Waverly Light & Power - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,2008-03-19,2023-03-31
Indianola Municipal Utilities - Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2008-10-30,2023-03-24
Ames Electric Department - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2009-01-30,2024-08-15
Black Hills Energy (Gas) - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2009-02-24,2024-06-03
Black Hills Energy (Gas) - Commercial Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2009-02-24,2023-03-31
Cedar Falls Utilities - Residential New Construction Program,IA,Financial Incentive,Rebate Program,2009-07-01,2024-05-30
MidAmerican Energy - Commercial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2009-07-14,2024-09-19
Cedar Falls Utilities - Commercial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2010-05-12,2023-02-09
Waverly Light & Power - Residential Solar Thermal Rebates,IA,Financial Incentive,Rebate Program,2008-03-19,2023-03-28
Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2010-02-04,2024-09-20
Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Grant Program,IA,Financial Incentive,Rebate Program,2010-02-04,2024-09-20
Energy Efficiency Standard,IA,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-15,2024-11-01
Liberty Utilities Iowa - High Efficiency Equipment Rebate,IA,Financial Incentive,Rebate Program,2010-02-01,2024-05-30
MidAmerican Energy - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2009-07-14,2023-03-28
Small Wind Innovation Zone Program and Model Ordinance,IA,Regulatory Policy,Solar/Wind Permitting Standards,2011-06-07,2023-05-26
Alliant Energy Interstate Power and Light - Commercial and Industrial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2006-06-05,2024-09-23
City of Dubuque - Solar Thermal Licensing Requirement,IA,Regulatory Policy,Solar/Wind Contractor Licensing,2012-02-02,2020-07-18
Residential Energy Efficiency Rebate (Offered by 18 Utilities),IA,Financial Incentive,Rebate Program,2012-02-03,2024-05-30
Business Energy Efficiency Rebate (Offered by 18 Utilities),IA,Financial Incentive,Rebate Program,2012-02-03,2024-09-17
Geothermal Heat Pump Tax Credit,IA,Financial Incentive,Personal Tax Credit,2012-06-01,2024-03-06
IADG Energy Bank Revolving Loan Program,IA,Financial Incentive,Loan Program,2013-04-26,2024-06-14
Corn Belt Power Cooperative - Commercial and Industrial Loan Program,IA,Financial Incentive,Loan Program,2019-06-17,2023-05-31
Energy Infrastructure Revolving Loan Program,IA,Financial Incentive,Loan Program,2021-10-19,2024-06-14
Linn County Rural Electric Cooperative - Commercial (>75KW) Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2023-02-08,2024-09-20
Iowa Energy Center Grant Program,IA,Financial Incentive,Grant Program,2023-05-25,2023-05-25
Diesel Emission Reduction Project Funding,IA,Financial Incentive,Grant Program,2024-03-21,2024-03-21
Iowa - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IA,Financial Incentive,Grant Program,2024-06-13,2024-06-13
Idaho Solar Easements & Access Laws,ID,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-12-05
Residential Alternative Energy Tax Deduction,ID,Financial Incentive,Personal Tax Deduction,2000-01-01,2023-03-15
Low-Interest Energy Loan Programs,ID,Financial Incentive,Loan Program,2000-01-01,2023-08-28
Idaho Power - Net Metering,ID,Regulatory Policy,Net Metering,2000-01-01,2023-02-13
Clean Energy Project Bond Program,ID,Financial Incentive,Bond Program,2005-04-29,2023-08-29
Rocky Mountain Power - Net Metering,ID,Regulatory Policy,Net Metering,2003-07-24,2023-02-14
Income Tax Deduction for Energy Efficiency Upgrades,ID,Financial Incentive,Personal Tax Deduction,2005-07-28,2023-03-20
Idaho Power - New Building Efficiency Program,ID,Financial Incentive,Rebate Program,2006-06-22,2023-08-04
Idaho Power - Commercial Custom Efficiency Program,ID,Financial Incentive,Rebate Program,2006-06-22,2023-08-04
Intermountain Gas Company (IGC) - Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,2006-06-23,2024-04-11
Building Energy Code,ID,Regulatory Policy,Building Energy Code,2006-07-31,2023-06-18
Idaho Falls Power - Commercial Energy Conservation Loan Program,ID,Financial Incentive,Loan Program,2006-08-24,2023-06-16
Idaho Falls Power - Residential Energy Efficiency Loan Program,ID,Financial Incentive,Loan Program,2006-08-24,2023-06-16
Avista Utilities - Net Metering,ID,Regulatory Policy,Net Metering,2006-10-30,2023-02-14
Rocky Mountain Power - wattsmart Business Program,ID,Financial Incentive,Rebate Program,2007-03-06,2024-08-14
Rocky Mountain Power - wattsmart Residential Efficiency Program,ID,Financial Incentive,Rebate Program,2007-03-06,2023-05-18
Kootenai Electric Cooperative - Residential Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,2007-03-19,2024-05-06
Idaho Power - Easy Upgrades for Simple Retrofits Rebate Program,ID,Financial Incentive,Rebate Program,2007-06-27,2023-08-04
"Property Tax Exemption for Wind, Solar, and Geothermal Energy Producers",ID,Financial Incentive,Property Tax Incentive,2007-03-30,2024-10-28
Idaho Power - Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,2008-11-13,2024-05-23
Idaho Falls Power - Commercial Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,2009-06-18,2023-06-16
Idaho Falls Power - Residential Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,2010-03-24,2023-06-16
Northern Lights Inc. - Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,2010-06-08,2024-04-11
Avista Utilities (Electric) - Commercial Energy Efficiency Incentives Program,ID,Financial Incentive,Rebate Program,2010-05-26,2024-07-01
Avista Utilities (Electric) - Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,2006-06-22,2024-05-10
Dominion Energy - ThermWise Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,2007-08-20,2024-05-22
Dominion Energy - ThermWise Home Builder Rebate Program,ID,Financial Incentive,Rebate Program,2007-08-20,2024-05-23
Dominion Energy - ThermWise Commercial Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,2007-08-20,2024-05-22
Idaho Power - Irrigation Efficiency Rewards Program,ID,Financial Incentive,Rebate Program,2015-07-21,2023-08-04
Kootenai Electric Cooperative - Commercial Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,2019-04-18,2024-05-06
Electric Vehicle Supply Equipment (EVSE) Program,ID,Financial Incentive,Grant Program,2021-05-27,2023-08-23
Vehicle Replacement Program,ID,Financial Incentive,Rebate Program,2021-05-27,2023-05-15
Idaho Commercial PACE Financing Program,ID,Financial Incentive,PACE Financing,2024-06-17,2024-06-17
Idaho - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,ID,Financial Incentive,Grant Program,2024-06-18,2024-06-25
Special Assessment for Solar Energy Systems,IL,Financial Incentive,Property Tax Incentive,2000-01-01,2024-08-13
Illinois Clean Energy Community Foundation Grants,IL,Financial Incentive,Grant Program,2002-11-07,2022-10-06
City of Chicago - Green Power Purchasing,IL,Regulatory Policy,Green Power Purchasing,2001-02-02,2021-08-30
Renewable Energy Resources Trust Fund,IL,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-27
Fuel Mix and Emissions Disclosure,IL,Regulatory Policy,Generation Disclosure,2000-01-01,2023-08-10
Renewable Portfolio Standard,IL,Regulatory Policy,Renewables Portfolio Standard,2001-06-12,2024-11-18
City Water Light and Power - Residential Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,2006-07-13,2023-08-03
City Water Light and Power - Commercial Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,2006-07-13,2023-08-03
Building Energy Code,IL,Regulatory Policy,Building Energy Code,2006-07-27,2023-06-18
Energy Efficiency Trust Fund,IL,Regulatory Policy,Public Benefits Fund,2006-09-25,2023-03-17
City of Chicago - Building Energy Code,IL,Regulatory Policy,Building Energy Code,2007-03-26,2023-06-18
City of Chicago - Green Building Permit Programs,IL,Financial Incentive,Green Building Incentive,2007-03-27,2024-07-09
Net Metering,IL,Regulatory Policy,Net Metering,2007-08-28,2024-03-07
Property Valuation for Commercial Wind Energy Equipment,IL,Financial Incentive,Property Tax Incentive,2007-10-26,2024-10-15
Energy Efficiency and Demand Response Fund,IL,Regulatory Policy,Public Benefits Fund,2008-02-08,2021-07-26
Interconnection Standards,IL,Regulatory Policy,Interconnection,2008-03-28,2024-06-06
ComEd -Energy Efficiency Program For Businesses,IL,Financial Incentive,Rebate Program,2008-09-19,2023-08-03
Energy Efficiency in State Government,IL,Regulatory Policy,Energy Standards for Public Buildings,2008-06-01,2024-07-01
ComEd - Energy Efficiency Program for Residential,IL,Financial Incentive,Rebate Program,2008-12-08,2023-08-03
Ameren Illinois (Electric) - Residential Energy Efficiency Incentives,IL,Financial Incentive,Rebate Program,2008-12-10,2023-08-03
Peoples Gas - Commercial & Industrial Prescriptive Rebate Program,IL,Financial Incentive,Rebate Program,2009-01-28,2023-08-11
City of Chicago - Small Business Improvement Fund,IL,Financial Incentive,Grant Program,2009-05-19,2022-07-15
MidAmerican Energy - Residential Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,2009-07-14,2024-05-06
Sales Tax Exemption for Wind and Solar Energy - High Impact Business,IL,Financial Incentive,Sales Tax Incentive,2009-07-16,2023-12-05
Renewable Energy and Energy Efficiency Project Financing,IL,Financial Incentive,Bond Program,2009-07-31,2020-08-28
Illinois PACE Financing Program,IL,Financial Incentive,PACE Financing,2009-08-20,2024-01-15
Statewide Renewable Energy Permitting Standards,IL,Regulatory Policy,Solar/Wind Permitting Standards,2009-09-21,2024-11-04
ComEd - Energy Efficiency Program for Commercial New Construction,IL,Financial Incentive,Rebate Program,2009-06-01,2024-07-25
Ameren Illinois - Instant Incentives Program,IL,Financial Incentive,Rebate Program,2009-12-09,2023-08-03
Ameren Illinois (Electric & Gas) - Multi-Family Properties Energy Efficiency Incentives,IL,Financial Incentive,Rebate Program,2009-12-09,2023-08-03
Illinois Municipal Electric Agency - Electric Efficiency Program,IL,Financial Incentive,Rebate Program,2010-01-05,2023-08-03
Nicor Gas - Residential Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,2010-05-06,2024-11-01
Nicor Gas - Commercial Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,2010-05-06,2023-08-03
North Shore Gas - Commercial & Industrial Prescriptive Rebate Program,IL,Financial Incentive,Rebate Program,2010-06-08,2023-08-11
Corn Belt Energy Coop - Residential Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,2010-06-29,2023-08-03
Illinois Solar and Wind Rights,IL,Regulatory Policy,Solar/Wind Access Policy,2010-08-18,2023-09-22
Retro-Commissioning (RCx) Program,IL,Financial Incentive,Grant Program,2008-09-22,2022-09-30
Jo-Carroll Energy - Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,2010-12-13,2024-04-26
Energy Efficiency Resource Standards,IL,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-15,2024-10-11
Ameren Illinois - Energy-Efficiency Program,IL,Financial Incentive,Rebate Program,2009-12-09,2023-08-03
MidAmerican Energy - Illinois Business Programs and Rebates,IL,Financial Incentive,Rebate Program,2009-02-09,2023-08-11
Cook County - LEED Requirement for County Buildings,IL,Regulatory Policy,Energy Standards for Public Buildings,2011-06-24,2024-06-06
"ComEd, Nicor Gas, Peoples Gas & North Shore Gas - Small Business Energy Savings Program",IL,Financial Incentive,Rebate Program,2008-09-19,2023-08-03
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,IL,Financial Incentive,Rebate Program,2011-02-24,2024-05-06
Corn Belt Energy Coop - Commercial Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,2011-02-24,2023-08-03
Wabash Valley Power Association (23 Member Cooperatives) - Residential Energy Efficiency Program,IL,Financial Incentive,Rebate Program,2012-02-22,2023-08-04
"Residential On-Bill Financing Programs - Nicor Gas, North Shore Gas, Peoples Gas, Ameren and ComEd",IL,Financial Incentive,Loan Program,2012-04-05,2023-08-04
Peoples Gas - Residential Rebate Program,IL,Financial Incentive,Rebate Program,2009-01-28,2024-05-06
North Shore Gas - Residential Rebate Program,IL,Financial Incentive,Rebate Program,2010-06-08,2023-08-03
ComEd - Business Instant Lighting Discounts Program,IL,Financial Incentive,Rebate Program,2012-10-09,2023-08-03
North Shore Gas - Home Energy Jumpstart Program,IL,Financial Incentive,Rebate Program,2013-03-27,2023-08-03
Peoples Gas - Single Family Direct Install,IL,Financial Incentive,Rebate Program,2013-03-27,2024-05-06
City of Chicago - Solar Express Permit Program,IL,Regulatory Policy,Solar/Wind Permitting Standards,2015-12-03,2023-08-11
City of Chicago - Solar Zoning Policy,IL,Regulatory Policy,Solar/Wind Access Policy,2016-09-27,2023-09-22
Driving a Cleaner Illinois Program,IL,Financial Incentive,Grant Program,2021-05-28,2024-03-21
Electric Vehicle Fleet Fee Exemption,IL,Financial Incentive,Other Incentive,2021-06-03,2024-03-21
ComEd - Distributed Generation Rebates,IL,Financial Incentive,Rebate Program,2021-06-18,2024-08-14
Improvement Valuation of Commercial Solar Energy Systems,IL,Financial Incentive,Property Tax Assessment,2022-06-09,2024-08-13
Community Renewable Generation Project Rules,IL,Regulatory Policy,Community Solar Rules,2022-06-09,2024-03-07
Adjustable Block Program (Illinois Shines),IL,Financial Incentive,Solar Renewable Energy Credit Program,2022-06-09,2024-08-14
Illinois Solar for All Program,IL,Financial Incentive,Solar Renewable Energy Credit Program,2022-06-09,2024-08-14
MidAmerican Energy Residential Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,2023-10-24,2023-10-24
Ameren Illinois Distributed Generation Rebate Program,IL,Financial Incentive,Rebate Program,2023-11-02,2024-08-13
Electric Vehicle Rebate Program,IL,Financial Incentive,Rebate Program,2023-11-02,2024-03-21
Charging Infrastructure Grant Program,IL,Financial Incentive,Grant Program,2023-11-03,2024-03-21
Community Solar Energy Sovereignty Grant Program,IL,Financial Incentive,Grant Program,2024-03-07,2024-03-07
School Bus Retrofit Reimbursement,IL,Financial Incentive,Grant Program,2024-03-21,2024-03-21
Illinois - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IL,Financial Incentive,Grant Program,2024-06-13,2024-06-13
Renewable Energy Property Tax Exemption,IN,Financial Incentive,Property Tax Incentive,2000-01-01,2024-08-15
Indiana Solar Easements & Rights Laws,IN,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-09-22
Net Metering,IN,Regulatory Policy,Net Metering,2005-02-17,2024-03-07
Interconnection Standards,IN,Regulatory Policy,Interconnection,2004-02-10,2024-05-30
Building Energy Code,IN,Regulatory Policy,Building Energy Code,2006-07-27,2023-06-18
South Central Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2006-09-01,2024-09-24
Duke Energy - Residential and Builder Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2006-09-26,2024-05-15
Duke Energy - Commercial and Industrial Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2006-09-26,2024-08-30
Bartholomew County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-09,2024-08-19
RushShelby Energy - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2023-06-20
Clark County REMC - Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-07-24
Southern Indiana Power - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-09-27
Utilities District of Western Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-09-30
WIN Energy REMC - Residential Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-08-27
Dubois REC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2023-03-24
Carroll County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-07-22
NineStar Connect - Residential Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2023-06-23
Harrison County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-08-27
Jackson County REMC - Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-07-24
Orange County REMC - Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-13,2024-08-28
Jay County REMC - Water Heater Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-20,2023-06-23
Marshall County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-20,2023-03-28
Northeastern REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-20,2024-08-28
Heartland REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-21,2024-09-27
Tipmont REMC - Energy Efficiency Equipment Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-21,2023-06-23
Carroll White REMC - Residential Heat Pump Rebate Program,IN,Financial Incentive,Rebate Program,2007-08-21,2024-07-24
Energy Efficient State Building Initiative,IN,Regulatory Policy,Energy Standards for Public Buildings,2008-08-26,2024-06-20
CenterPoint Energy - Residential Energy Efficiency Rebates,IN,Financial Incentive,Rebate Program,2008-09-08,2024-09-24
CenterPoint Energy (Gas) - Commercial Energy Efficiency Rebates,IN,Financial Incentive,Rebate Program,2008-09-09,2024-08-21
Citizens Gas - Residential Efficiency Rebates,IN,Financial Incentive,Rebate Program,2008-11-20,2024-09-27
Citizens Gas - Commercial Efficiency Rebates,IN,Financial Incentive,Rebate Program,2008-11-20,2024-09-27
NIPSCO (Gas & Electric) - Residential Energy Efficiency Program,IN,Financial Incentive,Rebate Program,2008-11-25,2024-05-16
City of Bloomington - Green Building Requirements for Municipal Buildings,IN,Regulatory Policy,Energy Standards for Public Buildings,2009-07-14,2024-06-21
Southeastern Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2009-08-05,2024-05-15
Parke County REMC - Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,2010-02-10,2024-08-28
AES Indiana - Business Energy Incentives Program,IN,Financial Incentive,Rebate Program,2010-09-30,2024-04-22
Indiana Michigan Power - Energy Savings Rebate Program,IN,Financial Incentive,Rebate Program,2011-02-08,2023-06-20
Indiana Michigan Power - Commercial and Industrial Rebate Program,IN,Financial Incentive,Rebate Program,2011-02-08,2024-08-21
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,IN,Financial Incentive,Rebate Program,2011-02-24,2024-07-22
Clean Energy Portfolio Standard,IN,Regulatory Policy,Renewables Portfolio Standard,2011-05-19,2024-11-18
Indianapolis Power & Light - Residential Energy Incentives Program,IN,Financial Incentive,Rebate Program,2010-09-30,2024-05-14
CenterPoint Energy (Electric) - Commercial New Construction Rebates,IN,Financial Incentive,Rebate Program,2008-09-09,2024-08-21
City of Bloomington - Sustainable Development Incentives,IN,Financial Incentive,Green Building Incentive,2011-10-11,2022-10-06
Sales and Use Tax Exemption for Electrical Generating Equipment,IN,Financial Incentive,Sales Tax Incentive,2012-02-08,2023-12-05
Wabash Valley Power Association (28 Member Cooperatives) - Residential Energy Efficiency Program,IN,Financial Incentive,Rebate Program,2012-02-22,2024-08-28
Community Conservation Challenge,IN,Financial Incentive,Grant Program,2012-10-10,2020-12-15
Johnson County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,2013-03-06,2024-07-24
NIPSCO - Feed-In Tariff,IN,Financial Incentive,Feed-in Tariff,2015-02-05,2023-09-19
NIPSCO (Gas & Electric) Small Business Direct Install Program,IN,Financial Incentive,Grant Program,2015-04-02,2024-07-25
NIPSCO (Gas & Electric) - Commercial & Industrial Energy Efficiency Program,IN,Financial Incentive,Rebate Program,2015-04-02,2024-08-22
Noble REMC - Residential Energy Efficiency Rebate Incentives,IN,Financial Incentive,Rebate Program,2015-04-09,2024-07-24
CenterPoint Energy - Residential New Construction Rebates,IN,Financial Incentive,Rebate Program,2020-08-28,2024-09-25
Indiana Volkswagen Mitigation Trust Program,IN,Financial Incentive,Grant Program,2021-06-03,2021-12-31
